Date,Close,,Date,Close,,Date,Close
30/06/2025 23:58:00,108527.5,,29/06/2025 23:58:00,2436.9814,,29/06/2025 23:58:00,150.828
01/07/2025 23:58:00,107217.4,,30/06/2025 23:58:00,2500.5653,,30/06/2025 23:58:00,153.3469
02/07/2025 23:58:00,106255.1,,01/07/2025 23:58:00,2487.1913,,01/07/2025 23:58:00,154.7713
03/07/2025 23:58:00,108696.5,,02/07/2025 23:58:00,2405.5849,,02/07/2025 23:58:00,146.9307
04/07/2025 23:58:00,109273.1,,03/07/2025 23:58:00,2570.6842,,03/07/2025 23:58:00,152.2528
05/07/2025 23:58:00,108230,,04/07/2025 23:58:00,2591.2846,,04/07/2025 23:58:00,152.3909
06/07/2025 23:58:00,108114,,05/07/2025 23:58:00,2508.4357,,05/07/2025 23:58:00,147.7496
07/07/2025 23:58:00,109395.1,,06/07/2025 23:58:00,2517.2448,,06/07/2025 23:58:00,147.6373
08/07/2025 23:58:00,107904.3,,07/07/2025 23:58:00,2571.0602,,07/07/2025 23:58:00,151.8793
09/07/2025 23:58:00,108395.8,,08/07/2025 23:58:00,2542.6005,,08/07/2025 23:58:00,148.8749
10/07/2025 23:58:00,111090.1,,09/07/2025 23:58:00,2615.5927,,09/07/2025 23:58:00,151.7858
11/07/2025 23:58:00,116768.2,,10/07/2025 23:58:00,2770.3779,,10/07/2025 23:58:00,157.2384
12/07/2025 23:58:00,117568.8,,11/07/2025 23:58:00,2950.6692,,11/07/2025 23:58:00,164.1022
13/07/2025 23:58:00,117603.5,,12/07/2025 23:58:00,2958.0417,,12/07/2025 23:58:00,162.8811
14/07/2025 23:58:00,120551.9,,13/07/2025 23:58:00,2943.3603,,13/07/2025 23:58:00,160.6782
15/07/2025 23:58:00,117226.1,,14/07/2025 23:58:00,2973.0976,,14/07/2025 23:58:00,161.2114
16/07/2025 23:58:00,117489.6,,15/07/2025 23:58:00,3014.076,,15/07/2025 23:58:00,162.272
17/07/2025 23:58:00,118070.4,,16/07/2025 23:58:00,3139.9861,,16/07/2025 23:58:00,163.9598
18/07/2025 23:58:00,120280.7,,17/07/2025 23:58:00,3372.7927,,17/07/2025 23:58:00,173.6855
19/07/2025 23:58:00,118353.3,,18/07/2025 23:58:00,3477.2607,,18/07/2025 23:58:00,175.8269
20/07/2025 23:58:00,117985.7,,19/07/2025 23:58:00,3547.9487,,19/07/2025 23:58:00,177.3621
